State_Name,District_Name,Agro_Climatic_Zone,Crop_Year,Season,Crop,Area_Sown,Production_Total,Yield_Kg_Ha,Precip_Seasonal_mm,Rain_Days_Extreme,Temp_Max_Avg,Heatwave_Days,Fertilizer_N_Tonnes,Fertilizer_P_Tonnes,Fertilizer_K_Tonnes,Net_Irrigated_Pct,Tubewell_Irrig_Pct,NPK_Total_Intensity_Kg_Ha,NPK_Balance_Ratio,Rainfall_Anomaly_Pct,Thermal_Stress_Index,Irrigation_Security_Score
Uttar Pradesh,Agra,Western UP,1997-98,Kharif,Rice,69147.3,182667.21,2641.7,805.6,5,31.8,0,8110.82,3406.55,1459.95,90.6,80.2,187.68,2.38,5.49,31.8,84.36
Uttar Pradesh,Agra,Western UP,1997-98,Rabi,Wheat,94962.8,270273.44,2846.1,98.5,0,33.2,5,14452.78,6503.75,2167.92,90.6,80.2,243.51,2.22,49.02,41.5,84.36
Uttar Pradesh,Agra,Western UP,1998-99,Kharif,Rice,87128.2,253450.64,2908.9,856.2,2,34.3,0,9733.55,4088.09,1752.04,85.3,80.4,178.74,2.38,12.12,34.3,82.36
Uttar Pradesh,Agra,Western UP,1998-99,Rabi,Wheat,98392.3,305609.19,3106.0,40.1,0,31.4,1,16176.54,7279.44,2426.48,85.3,80.4,263.05,2.22,-39.33,32.97,82.36
Uttar Pradesh,Agra,Western UP,1999-00,Kharif,Rice,114148.3,335447.37,2938.7,803.2,5,32.0,0,13995.24,5878.0,2519.14,84.8,81.9,196.17,2.38,5.18,32.0,83.06
Uttar Pradesh,Agra,Western UP,1999-00,Rabi,Wheat,96029.0,307014.26,3197.1,54.2,0,29.1,0,14638.48,6587.32,2195.77,84.8,81.9,243.9,2.22,-18.0,29.1,83.06
Uttar Pradesh,Agra,Western UP,2000-01,Kharif,Rice,75775.6,207387.21,2736.9,768.8,4,33.2,0,9146.36,3841.47,1646.35,91.0,83.5,193.13,2.38,0.67,33.2,86.5
Uttar Pradesh,Agra,Western UP,2000-01,Rabi,Wheat,111319.4,276707.31,2485.7,85.3,0,33.6,7,17084.33,7687.95,2562.65,91.0,83.5,245.55,2.22,29.05,45.36,86.5
Uttar Pradesh,Agra,Western UP,2001-02,Kharif,Rice,77047.6,232732.96,3020.6,887.7,4,34.4,0,9130.73,3834.91,1643.53,87.4,84.9,189.61,2.38,16.24,34.4,85.9
Uttar Pradesh,Agra,Western UP,2001-02,Rabi,Wheat,121185.4,387843.98,3200.4,90.6,0,32.2,2,17595.27,7917.87,2639.29,87.4,84.9,232.31,2.22,37.07,35.42,85.9
Uttar Pradesh,Agra,Western UP,2002-03,Kharif,Rice,86482.5,200905.04,2323.1,332.5,4,32.6,0,11297.35,4744.89,2033.52,90.5,80.0,209.01,2.38,-56.46,32.6,84.2
Uttar Pradesh,Agra,Western UP,2002-03,Rabi,Wheat,78593.3,249582.67,3175.6,80.8,0,32.3,3,11067.42,4980.34,1660.11,90.5,80.0,225.31,2.22,22.25,37.14,84.2
Uttar Pradesh,Agra,Western UP,2003-04,Kharif,Rice,99638.3,282488.07,2835.1,674.5,5,33.0,0,13460.1,5653.24,2422.82,91.0,79.7,216.14,2.38,-11.68,33.0,84.22
Uttar Pradesh,Agra,Western UP,2003-04,Rabi,Wheat,97910.5,265124.62,2707.8,66.5,0,33.7,7,14914.8,6711.66,2237.22,91.0,79.7,243.73,2.22,0.61,45.5,84.22
Uttar Pradesh,Agra,Western UP,2004-05,Kharif,Rice,87334.0,249382.3,2855.5,557.3,2,34.4,0,11303.03,4747.27,2034.55,92.6,85.6,207.08,2.38,-27.02,34.4,88.4
Uttar Pradesh,Agra,Western UP,2004-05,Rabi,Wheat,71195.9,261469.49,3672.5,22.1,0,31.8,0,10566.23,4754.81,1584.94,92.6,85.6,237.46,2.22,-66.56,31.8,88.4
Uttar Pradesh,Agra,Western UP,2005-06,Kharif,Rice,76043.4,219107.44,2881.3,625.4,3,34.5,0,10992.53,4616.86,1978.66,90.6,84.2,231.29,2.38,-18.11,34.5,86.76
Uttar Pradesh,Agra,Western UP,2005-06,Rabi,Wheat,102372.0,306123.24,2990.3,55.6,0,33.4,6,16169.07,7276.08,2425.36,90.6,84.2,252.71,2.22,-15.88,43.42,86.76
