source,filename,filepath,size_kb,page_count,file_hash,is_exact_duplicate,extraction_method,extraction_error,char_count,word_count,text_output_path,retry_status
other_docs,ICAR-Advisory-FOR-SOWING-March-16-312026.pdf,../data/raw/pdfs/Other_docs\ICAR-Advisory-FOR-SOWING-March-16-312026.pdf,530.3,2,226bd391ee98477bad05aeda38752b8bee812a2ccf1a997090687d5cc6e0f3bc,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,1,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\ICAR-Advisory-FOR-SOWING-March-16-312026.txt,excluded_unreadable
other_docs,ICAR-Advisory-March-1-152026.pdf,../data/raw/pdfs/Other_docs\ICAR-Advisory-March-1-152026.pdf,409.0,1,ae2c3962ed11683f7cca00177270f4ec28728f9c243783765a5fec0775d2b81e,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,0,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\ICAR-Advisory-March-1-152026.txt,excluded_unreadable
other_docs,ICAR-Advisory-WHEAT-April-1-152026.pdf,../data/raw/pdfs/Other_docs\ICAR-Advisory-WHEAT-April-1-152026.pdf,340.7,1,72bce060c89fea887b71c8a6d76b05d666bc1a7541d0786d75f3e4447f837686,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,0,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\ICAR-Advisory-WHEAT-April-1-152026.txt,excluded_unreadable
other_docs,ICAR-Advisory-WHEAT-April-16-302026.pdf,../data/raw/pdfs/Other_docs\ICAR-Advisory-WHEAT-April-16-302026.pdf,335.4,1,d8e657fcb63d6b2ab58b72b33e573b726d8b9e6a319a5fadd0f012883dc5217c,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,0,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\ICAR-Advisory-WHEAT-April-16-302026.txt,excluded_unreadable
other_docs,Integrated pest management.pdf,../data/raw/pdfs/Other_docs\Integrated pest management.pdf,431.4,3,5a4af6edbf4615715d55a256f29c66514997e269d545c805e1b042c08ec0562f,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,2,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\Integrated pest management.txt,excluded_unreadable
ppqs_advisories,Advisory on Aphid on Mustard crop growing areas on Odisha state.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Aphid on Mustard crop growing areas on Odisha state.pdf,3279.0,3,c6c6252b01df3ce1ea19dfa474e1c0392c0ebec20bd01c3e18dc4b842383b8dd,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,2,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Aphid on Mustard crop growing areas on Odisha state.txt,excluded_unreadable
ppqs_advisories,Advisory on Black headed caterpillar and Leaf blight for Coconut growing areas of Karnataka.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Black headed caterpillar and Leaf blight for Coconut growing areas of Karnataka.pdf,469.1,3,9e73f115214568c1d4d132f9e342e68ab17334d29c8abc51505024ef0f891a3e,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,2,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Black headed caterpillar and Leaf blight for Coconut growing areas of Karnataka.txt,excluded_unreadable
ppqs_advisories,Advisory on Black headed caterpillar in Coconut growing areas of Karnataka.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Black headed caterpillar in Coconut growing areas of Karnataka.pdf,423.1,3,b106d84884e89a30f9d415dacefbb5688c91cc2884a89697d8070315b5cb31ed,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,2,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Black headed caterpillar in Coconut growing areas of Karnataka.txt,excluded_unreadable
ppqs_advisories,Advisory on Fusarium Wilt (panama disease) on Banana in Faizabad district of Utter Pradesh.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Fusarium Wilt (panama disease) on Banana in Faizabad district of Utter Pradesh.pdf,1982.4,2,b94a040af99510af11b6a08092d0965064d8c5481c88446c4ef30b4ce4de838d,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,1,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Fusarium Wilt (panama disease) on Banana in Faizabad district of Utter Pradesh.txt,excluded_unreadable
ppqs_advisories,Advisory on Mango leaf hopper and Mealy bug in Mango growing areas of Utter Pradesh State.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Mango leaf hopper and Mealy bug in Mango growing areas of Utter Pradesh State.pdf,529.0,3,4fce85334cd5dd35a2288ecff5d366ead0a0f8249e514474dc55e30d8d5e58bd,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,2,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Mango leaf hopper and Mealy bug in Mango growing areas of Utter Pradesh State.txt,excluded_unreadable
ppqs_advisories,Advisory on Mango Thrips in Mango growing areas of Uttar Pradesh state.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Mango Thrips in Mango growing areas of Uttar Pradesh state.pdf,6410.3,2,016de9c92da411c06b5ef3321ac06069f16c0018d7e910c4e2900679f8aabf0a,False,excluded_unreadable,error: Unable to get page count. Is poppler installed and in PATH?,1,0,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Mango Thrips in Mango growing areas of Uttar Pradesh state.txt,excluded_unreadable
