source,filename,filepath,size_kb,page_count,file_hash,is_exact_duplicate,extraction_method,extraction_error,char_count,word_count,text_output_path,retry_status,detected_language,garbage_char_ratio,detected_year
other_docs,CMP_Circulars_29102025_638973560481999250_Rabi Minikit 2025-26.pdf,../data/raw/pdfs/Other_docs\CMP_Circulars_29102025_638973560481999250_Rabi Minikit 2025-26.pdf,2178.2,8,3e154fdec3526b3bfa17cb0d9dba4e7614e9b81e55da75889b90d52371d33591,False,native,,9843,1613,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\CMP_Circulars_29102025_638973560481999250_Rabi Minikit 2025-26.txt,not_applicable,en,0.011,2025.0
other_docs,EB-52-Wheat-Cultivation-in-India-Pocket-Guide.pdf,../data/raw/pdfs/Other_docs\EB-52-Wheat-Cultivation-in-India-Pocket-Guide.pdf,950.9,40,cbe436b0c8e06360ae61eaa35a0662c85e45c7b6754ae033d44a4b07082daccd,False,native,,45289,7451,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\EB-52-Wheat-Cultivation-in-India-Pocket-Guide.txt,not_applicable,en,0.001,
other_docs,Indian_Farming_November_2025.pdf,../data/raw/pdfs/Other_docs\Indian_Farming_November_2025.pdf,8532.8,68,cc238b69b87b88e138d4015a0e10228ec3296bc5917529025ba9c281302dedb2,False,native,,249167,39689,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\Indian_Farming_November_2025.txt,not_applicable,en,0.005,2025.0
other_docs,LeafblightSouvenirArticle.pdf.pdf,../data/raw/pdfs/Other_docs\LeafblightSouvenirArticle.pdf.pdf,5453.9,7,d6dc5c62098d58743570280990a10c35a39e2c7107c1368b1625571ecffc2c73,False,native,,3957,583,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\LeafblightSouvenirArticle.pdf.txt,not_applicable,en,0.014,2024.0
other_docs,National_Mission_on_Natural_Farming.pdf,../data/raw/pdfs/Other_docs\National_Mission_on_Natural_Farming.pdf,480.7,49,9609c0fccef76cb3a9c45287a58157c7c3c6ef03f0628dcb3b2607f4bcea89ee,False,native,,87666,13568,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\National_Mission_on_Natural_Farming.txt,not_applicable,en,0.003,
other_docs,pop_for_management_of_paddy_blast.pdf,../data/raw/pdfs/Other_docs\pop_for_management_of_paddy_blast.pdf,141.6,5,edeb0d1e394b36a23be7dcf7dcd9e62e2d35e74b6a42f3e3c6fef39d84ecf363,False,native,,6408,1047,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\pop_for_management_of_paddy_blast.txt,not_applicable,en,0.004,
other_docs,Rice-based-cropping-systems.pdf,../data/raw/pdfs/Other_docs\Rice-based-cropping-systems.pdf,171.1,4,085da2ca25b882a0484a2566757cfc89bacad07e27b51b1c4197cacabdee74c9,False,native,,19066,2847,../data/raw/pdfs/pdf_eda_outputs\extracted_text\other_docs\Rice-based-cropping-systems.txt,not_applicable,en,0.005,2018.0
ppqs_advisories,"Advisory for current status of Rugose Spiraling Whitefly (RSW), Aleurodicus regioperculatus Martin on Coconut and Oil Palm.pdf","../data/raw/pdfs/PPQS_Advisories\Advisory for current status of Rugose Spiraling Whitefly (RSW), Aleurodicus regioperculatus Martin on Coconut and Oil Palm.pdf",1717.8,3,2019b651a692f917e37ce069597f6b32f9100aa001daac485f9500659ba0a4ad,False,native,,5616,1085,"../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory for current status of Rugose Spiraling Whitefly (RSW), Aleurodicus regioperculatus Martin on Coconut and Oil Palm.txt",not_applicable,unknown,,
ppqs_advisories,Advisory for Issuance of PSC after fulfilling the Mandatory Compliance with the Pesticide MRLs in Betel leaves being exported to Saudi Arabia.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory for Issuance of PSC after fulfilling the Mandatory Compliance with the Pesticide MRLs in Betel leaves being exported to Saudi Arabia.pdf,79.7,1,aaca9d80bedc9553daa8d760d4467b660d3ef290e7b308595ea85088349dbfb8,False,native,,1519,223,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory for Issuance of PSC after fulfilling the Mandatory Compliance with the Pesticide MRLs in Betel leaves being exported to Saudi Arabia.txt,not_applicable,unknown,,
ppqs_advisories,Advisory for Locust Survey and Control.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory for Locust Survey and Control.pdf,7806.4,12,747055547594007a5e643a7bb7cf863577250e070422ecb8e10509302d0b2d2a,False,native,,20959,4111,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory for Locust Survey and Control.txt,not_applicable,en,0.002,2020.0
