BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year,Season_clean,QueryText_length,KccAns_length,combined_length
SHAHABAD,Others,2021-12-12T15:05:02.76,Others,RAMPUR,7242632,सर आप प्रधानमंत्री किसान सम्मान निधि के तहत पंजीकरण विवरण अपडेट कराने के लिए जिला के उप कृषि निदेशक कार्यालय से संपर्क करें |,Information about beneficiary status of PM Kisan Samman Nidhi....?,Government Schemes,,AGRICULTURE,UTTAR PRADESH,12,12,2021,Unknown,66,125,191
BAGHPAT,Others,2023-03-01T17:01:21.37,Others,BAGHPAT,4452679,"महोदय,आप प्रधान मंत्री किसान सम्मान निधि योजना से सम्बंधित जानकारी हेतु इस नंबर पर संपर्क करे-1800-11-5526/155261
","Information about Pradhan mantri kisan samman nidhi yojana contact number  ?
",Government Schemes,,AGRICULTURE,UTTAR PRADESH,1,3,2023,Unknown,78,115,193
MUFTI GANJ,Others,2023-02-28T12:39:21.767,Others,JAUNPUR,4429480,"-श्रीमान जी आपका पीएम किसान सम्मान निधि स्टेटस में Correction is pending at state दिखा रहा है इसके लिए  सभी दस्तावेजों के साथ जिले के कृषि उपनिदेशक जी से संपर्क करें|
","  Provide about information of PM kisan samman nidhi scheme beneficiary status ?
",Government Schemes,,AGRICULTURE,UTTAR PRADESH,28,2,2023,Unknown,82,168,250
MARTINGANJ,Others,2022-03-06T10:15:35.533,Others,AZAMGARH,821275,"श्रीमान जी पीएम किसान योजना के अंतर्गत सभी लाभार्थी का e-KYC दिनांक 31.03.2022 तक होना अनिवार्य है।  e-KYC के लिए PM-किसान पोर्टल (https://pmkisan.gov.in/) पर “Farmer Corner” मेनू में सुविधा उपलब्ध है। लाभार्थी का मोबाइल नंबर यदि आधार से जुड़ा है तब लाभार्थी e-KYC घर बैठे OTP के माध्यम से निःशुल्क कर सकते हैं अन्यथा अपने पास के CSC/ जनसेवा केंद्र से कर सकते हैं। 
",Give information for updating eKYC under pradhan mantri samman nidhi scheme?,Government Schemes,,AGRICULTURE,UTTAR PRADESH,6,3,2022,Unknown,76,366,442
0   ,Others,2024-01-29T09:32:09.137,Others,SAHARANPUR,241937,"किसान कॉल सेंटर में कॉल करने के लिए धन्यवाद 
","FOR CALLING KISAAN CALL CENTER
",Government Schemes,,AGRICULTURE,UTTAR PRADESH,29,1,2024,Unknown,32,46,78
ARAON,Others,2022-01-22T11:52:07.033,Others,FIROZABAD,353387,"महोदय, प्रधानमंत्री किसान सम्मान निधि योजना के अंतर्गत आपका पंजीकरण राज्य / जिला स्तर पर अनुमोदन के लिए लंबित है, अधिक जानकारी के लिए जिले के उप कृषि निदेशक कार्यालय या राष्ट्रीय कृषि बीज भंडार प्रभारी जी से संपर्क करें | ",Information of PM Kisan Samman Nidhi know beneficiary status ...?,Government Schemes,,AGRICULTURE,UTTAR PRADESH,22,1,2022,Unknown,65,222,287
BARKHERA,Others,2023-03-15T17:02:24.95,Others,PILIBHIT,4645344,"श्रीमान जी, आपके क्षेत्र में आज 15 से 21 मार्च तक का मौसम ज्ञात हो रहा है, आंशिक रूप से बादल छाए रह सकते हैं|17,18 और 19 मार्च को बूंदाबांदी की संभावनाएं बनी हुई है, आज का अधिकतम तापमान 28 डिग्री सेल्सियस तथा न्यूनतम तापमान 21 डिग्री सेल्सियस दर्ज किया जा रहा है हवा की गति 04 से 07 किलोमीटर प्रति घंटे की दर से चलने की संभावना है, कृषि कार्य अपने क्षेत्र के मौसम के अनुसार करें |  ",Farmer asked query on Weather,Weather,,AGRICULTURE,UTTAR PRADESH,15,3,2023,Unknown,29,382,411
BARNAHAL,Others,2023-06-27T16:40:17.147,Others,MAINPURI,5690688,"महोदय, 27 जून से 3 जुलाई तक बूंदाबांदी और बारिश की संभावना है, बादल आंशिक रूप से छाए रहेंगे, आज का न्यूनतम और अधिकतम तापमान 27° C - 32° C तथा हवा की गति 7 - 11 किलोमीटर प्रति घंटा रहने की संभावना है, मौसम के अनुसार कृषि कार्य करें ",Farmer asked query on Weather,Weather,,AGRICULTURE,UTTAR PRADESH,27,6,2023,Unknown,29,231,260
KALAN,Others,2024-02-17T19:14:49.353,Others,SHAHJAHANPUR,417357,"श्रीमान जी, आपके क्षेत्र में 17 फ़रवरी से 23 फ़रवरी तक का मौसम ज्ञात हो रहा है | 20-22 फ़रवरी को आंशिक बादल के साथ  बारिश तथा बूंदाबांदी की संभावना है |आज का अधिकतम तापमान 16 डिग्री सेल्सियस तथा न्यूनतम तापमान 11 डिग्री सेल्सियस, हवा की गति 07-11 किलोमीटर प्रति घंटे की गति से चलने की संभावना है, कृषि कार्य अपने क्षेत्र के मौसम के अनुसार करें।",Farmer asked query on Weather,Weather,,AGRICULTURE,UTTAR PRADESH,17,2,2024,Unknown,29,341,370
Behjoi,Others,2020-07-19T10:30:02.86,Others,SAMBAL (BHIM NAGAR),1991420,"
महोदय, 19 जुलाई से 24 जुलाई तक को बूंदा-बंदी के साथ 22 मिलीमीटर  बारिश होने की संभावना है, 19 जुलाई से 24 जुलाई आंशिक रूप से बादल छाए रहेंगे। आज का न्यूनतम तापमान 30° C और अधिकतम तापमान 35 ° C है और हवा की गति 7 -11 किलोमीटर प्रति घंटा रहने की संभावना है। मौसम के अनुसार कृषि कार्य करें।
",Give Me About Weather Information of Block-Behjoi in District-Sambal …?,Weather,,AGRICULTURE,UTTAR PRADESH,19,7,2020,Unknown,71,291,362
